Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BymIH6QBGllSijMm3sQiR,"Wylin'","Always Never","Always Never",2018-08-24,269268,48,true,,2023-05-30T22:30:51Z,"dark r&b,trap soul","Always Never",0.497,0.489,4,-7.849,0,0.0413,0.111,0.00167,0.0912,0.0348,163.814,4
spotify:track:6O3KmGjJOA8wMoTB1CiE6a,"Said and Done","Said and Done","Lithe",2020-07-10,160837,0,false,,2023-05-23T21:56:54Z,"dark r&b","GSL",0.859,0.197,5,-12.959,0,0.0863,0.565,0.00797,0.113,0.338,95.49,4
spotify:track:4yGmAC6jCfSDo7s43vJbKx,"Getaway","Getaway","Lithe",2019-06-06,175384,0,false,,2023-05-23T21:18:20Z,"dark r&b","GSL",0.942,0.378,11,-8.02,0,0.0528,0.0431,0.0000314,0.101,0.61,104.035,4
spotify:track:6WvLpS20LAAcRgP0ofVLg5,"U","U","Noah North",2020-03-20,140771,20,false,,2023-05-23T21:03:04Z,"","Noah North LLC",0.785,0.556,5,-6.116,1,0.0417,0.445,0.00175,0.0988,0.7,103.978,4
spotify:track:296rJexbfZ62rMJ2N54lst,"Angel Eyes","Angel Eyes","Jordan Solomon",2019-04-12,163770,33,false,,2023-05-23T20:27:06Z,"","Jordan Solomon Holdings",0.593,0.721,9,-6.074,1,0.112,0.528,0.0000024,0.105,0.348,170.093,4
spotify:track:7vTWDgT6kwl7efPEh0AkmD,"Used To","Used To","Jordan Solomon",2020-04-24,154375,29,true,,2023-05-23T20:25:18Z,"","Jordan Solomon Holdings",0.777,0.501,1,-10.319,1,0.0939,0.606,0.000181,0.165,0.762,68.038,3
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,84,false,,2023-05-23T05:57:28Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:2TH65lNHgvLxCKXM3apjxI,"Callaita","Callaita","Bad Bunny;Tainy",2019-05-31,250533,77,true,,2023-05-19T21:07:28Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.61,0.624,2,-4.773,1,0.309,0.6,0.00000212,0.243,0.244,176.169,4
spotify:track:5rqfg8Hz5D1aCcn2XUxzNA,"Traphouse","Traphouse","Tory Lanez;Nyce",2015-01-15,256133,67,true,,2023-05-19T19:04:38Z,"","Benny Blanco Major",0.685,0.272,0,-14.903,0,0.0499,0.346,0.0000408,0.0706,0.524,112.022,4
spotify:track:2cue4DdCwO7himRLESpWk5,"Tell Me It's Over (feat. Summer Walker & 6LACK)","Sincerely For You","Jacquees;Summer Walker;6LACK",2022-12-16,281013,58,true,,2023-04-05T21:19:35Z,"r&b,trap soul","Republic Records",0.707,0.459,5,-6.488,1,0.0616,0.38,0,0.112,0.441,122.07,4
spotify:track:0WtM2NBVQNNJLh6scP13H8,"Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema;Selena Gomez",2022-08-25,239317,79,false,,2023-04-05T15:04:21Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Records / Jonzing World",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
spotify:track:0JXXNGljqupsJaZsgSbMZV,"Sure Thing","All I Want Is You","Miguel",2010-11-30,195373,86,false,,2023-03-29T17:22:01Z,"r&b","Jive",0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian","Daniel Caesar;Kali Uchis",2017-08-25,278179,7,false,,2023-03-29T17:05:51Z,"","Golden Child Recordings",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
spotify:track:14SaZBTjxlorHJQxXh01Hu,"Girls Need Love (with Drake) - Remix","Last Day Of Summer","Summer Walker;Drake",2018-10-19,222374,78,true,,2023-03-29T16:53:59Z,"r&b,rap","LVRN/Interscope Records",0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,4
spotify:track:5c3luoCub1Z1Gg74NdNtuq,"Belong to the City","PARTYNEXTDOOR TWO","PARTYNEXTDOOR",2014-07-29,98023,79,true,,2023-03-29T16:19:51Z,"dark r&b,r&b,trap soul","OVO Sound",0.582,0.482,5,-9.813,0,0.0479,0.709,0.00138,0.129,0.193,88.198,4
spotify:track:6i759FCuKx713ZnYjtpQGU,"True Colors","Starboy","The Weeknd",2016-11-24,206026,58,false,,2023-03-29T16:11:41Z,"","The Weeknd/Lyric",0.616,0.424,1,-8.237,1,0.251,0.284,0,0.173,0.582,76.676,4
spotify:track:5svK1ysz8yk6sLC3bhxUGt,"dec 11th","Give Or Take","GIVĒON",2022-06-24,73209,58,false,,2023-03-29T16:10:24Z,"r&b","Epic",0.571,0.37,5,-11.797,1,0.116,0.624,0,0.662,0.918,59.886,4
spotify:track:5nrzA4GIsgS1wdwY3q7cnt,"My Luv (feat. Bibi Bourelly)","My Luv (feat. Bibi Bourelly)","RINI;Bibi Bourelly",2023-02-10,152238,44,false,,2023-03-29T16:06:47Z,"","Warner Records",0.612,0.432,7,-7.214,1,0.0331,0.129,0.0000846,0.117,0.213,139.904,4
spotify:track:0L3KqlhJGIqpcX6eAC55rX,"IT'S NOT THAT SERIOUS","IT'S NOT THAT SERIOUS","ASTN",2021-06-04,140950,7,true,,2023-03-29T16:01:34Z,"","ASTN",0.771,0.0999,2,-13.244,1,0.0499,0.57,0.00101,0.0859,0.143,143.829,3
spotify:track:0Aa3g9EQoPNt6PiKjaUeb7,"Every Kind Of Way","H.E.R.","H.E.R.",2017-10-20,160172,66,false,,2023-03-29T15:39:24Z,"r&b","MBK Entertainment/RCA Records",0.416,0.298,7,-8.499,1,0.0442,0.635,0.00000216,0.136,0.191,95.386,4
spotify:track:0mL82sxCRjrs3br407IdJh,"Is There Someone Else?","Dawn FM","The Weeknd",2022-01-06,199111,80,false,,2023-03-26T04:35:26Z,"","XO / Republic Records",0.702,0.586,9,-7.83,0,0.0313,0.0388,0.0000727,0.156,0.608,134.951,4
spotify:track:6jGAh1bFnXt1Muj9zeHveZ,"After Last Night (with Thundercat & Bootsy Collins)","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic;Thundercat;Bootsy Collins",2021-11-12,249444,66,false,,2023-03-26T04:32:26Z,"funk","Aftermath Entertainment/Atlantic",0.651,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.647,140.051,4
spotify:track:6XHVuErjQ4XNm6nDPVCxVX,"No Guidance (feat. Drake)","Indigo","Chris Brown;Drake",2019-06-28,260645,79,true,,2023-03-26T04:06:26Z,"r&b,rap","Chris Brown Entertainment/RCA Records",0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,4
spotify:track:3JEJwjqLkg2Jbau5922CAb,"Her Way","PARTYNEXTDOOR TWO","PARTYNEXTDOOR",2014-07-29,216630,77,true,,2023-03-26T03:55:11Z,"dark r&b,r&b,trap soul","OVO Sound",0.542,0.487,1,-9.53,1,0.0286,0.0544,0.000885,0.0872,0.119,111.307,4
spotify:track:3ncmoWTwJgx63LwMTyBCXf,"Hrs & Hrs","Public Displays Of Affection: The Album","Muni Long",2022-09-23,204316,72,true,,2023-03-26T03:51:55Z,"","Supergiant Records, LLC / Def Jam Recordings",0.523,0.521,6,-4.746,1,0.159,0.607,0,0.107,0.661,133.953,3
spotify:track:2wSTnntOPRi7aQneobFtU4,"Shirt","SOS","SZA",2022-12-09,181840,68,true,,2023-03-26T01:52:56Z,"r&b","Top Dawg Entertainment/RCA Records",0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
spotify:track:31mzt4ZV8C0f52pIz1NSwd,"Shut up My Moms Calling (Sped up)","Shut up My Moms Calling (Sped up)","Hotel Ugly",2022-09-14,135529,75,false,,2023-03-24T15:53:13Z,"","Hotel Ugly, under exclusive license to Amuseio AB",0.653,0.474,5,-10.899,0,0.103,0.312,0.00000665,0.119,0.361,85.024,4
spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,"I Feel It Coming","Starboy","The Weeknd;Daft Punk",2016-11-25,269186,77,false,,2023-03-10T20:11:08Z,"french house,electronic,electro","The Weeknd/Lyric",0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,4
spotify:track:0ifooM33X1iBxVYyOkSbXW,"A Lonely Night","Starboy","The Weeknd",2016-11-25,220173,63,false,,2023-03-09T20:36:59Z,"","The Weeknd/Lyric",0.853,0.663,7,-6.955,0,0.0755,0.0431,0.00000871,0.0891,0.864,113.998,4
spotify:track:7szuecWAPwGoV1e5vGu8tl,"In Your Eyes","After Hours","The Weeknd",2020-03-20,237520,76,true,,2023-03-09T20:29:43Z,"","Republic Records",0.667,0.719,7,-5.371,0,0.0346,0.0028,0.0000792,0.0736,0.718,100.019,4
spotify:track:7oDd86yk8itslrA9HRP2ki,"Die For You - Remix","Die For You (Remix)","The Weeknd;Ariana Grande",2023-02-24,232857,72,false,,2023-03-06T20:20:05Z,"pop","XO / Republic Records",0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,4
